,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y
0,7277.0,2493.85,0.3427,66.3944,1031846.8809999999,95.2588,4121.76,51.0,37.6682,16.843
1,8160.6,2809.02,0.34421,78.8038,1112390.132,113.852,3429.18,59.0,38.3364,14.655999999999999
2,17513.9,6382.49,0.36441999999999997,172.93400000000003,2436545.141,269.04200000000003,5823.7,78.0,23.7616,8.471
3,21723.9,7461.9,0.34348,157.655,3041129.725,349.71,10713.65,85.0,31.8282,20.352999999999998
4,6706.47,2840.47,0.42353999999999997,44.1414,942750.7787,100.04299999999999,2789.39,16.0,41.9808,14.699000000000002
5,6209.63,2197.57,0.35389,21.3794,840558.6037,85.9963,3615.6,41.0,40.3508,19.912
6,6449.81,1996.44,0.30953,55.1144,840451.7436,102.079,4558.63,14.0,38.4466,17.007
7,6285.14,1839.67,0.2927,52.7242,856978.5505,83.7616,2682.21,31.0,40.6918,3.525
8,6017.92,2060.47,0.34238,54.9355,819618.8866,84.9307,3200.23,12.0,39.3607,7.745
9,8268.42,2486.5,0.30072,98.294,1168407.269,113.677,3544.52,90.0,36.7318,2.189
10,14196.8,4281.06,0.30155,126.351,2003055.744,189.486,4881.03,68.0,28.4483,10.758
11,6362.21,2148.5,0.33769,51.9364,878340.6769,92.4119,2845.2,85.0,39.6621,14.467
12,7853.42,2117.61,0.26964,70.0516,1102996.58,103.493,3050.75,56.0,38.0284,18.877
13,13872.4,4274.09,0.3081,137.933,1949260.476,185.653,4315.38,36.0,31.3078,3.37
14,16755.3,5464.8,0.32615,164.81400000000005,2293989.812,228.03099999999998,5432.52,149.0,25.5154,18.307000000000002
15,9394.98,2293.03,0.24406,95.9727,1292845.9070000001,137.95600000000002,4110.29,48.0,34.3374,6.117000000000001
16,14633.6,4731.86,0.32335,165.722,2025703.926,227.324,4999.22,112.0,27.4834,10.274000000000001
17,12003.0,4838.06,0.40307,140.691,1725985.686,187.987,4687.85,151.0,29.2804,20.171
18,6646.47,2254.59,0.33921,64.2768,883256.1872,101.34299999999999,2759.01,42.0,39.9042,10.139
19,14178.3,3756.25,0.26492,167.03799999999995,1954417.9430000002,224.291,4859.61,120.0,27.6339,5.188
20,10974.2,2574.38,0.23458,128.391,1489639.086,174.82,3927.39,60.0,33.008,1.591
21,10619.6,3336.42,0.31417,104.93799999999999,1479036.0659999999,153.61700000000005,4268.03,47.0,34.2,2.036
22,8688.92,1882.61,0.21666,99.8124,1208609.21,130.017,3821.67,39.0,34.9364,2.58
23,5477.85,1304.43,0.23811999999999997,53.327,722810.7785,85.059,3400.39,19.0,40.3944,2.3890000000000002
24,10471.3,3997.38,0.38174,102.87700000000001,1482747.283,171.013,3861.31,25.0,36.2107,18.302
25,11301.3,2807.32,0.2484,135.016,1548524.2019999996,165.217,4448.74,94.0,31.4912,1.8969999999999998
26,7131.1,2125.28,0.29802,52.1083,965226.2621,98.1529,2641.91,42.0,40.474000000000004,10.380999999999998
27,14343.1,4082.57,0.28463,179.515,1987931.513,221.30200000000002,4867.71,112.0,27.8962,4.7810000000000015
28,9487.38,2811.38,0.29632,78.7824,1363002.335,127.838,4606.55,98.0,32.1977,1.65
29,7665.71,1875.35,0.24464,85.7137,1074180.137,109.74600000000001,3870.73,24.0,35.1279,1.89
30,5118.11,1083.28,0.21165,47.9293,737233.7997,62.7771,2194.35,80.0,42.7386,0.879
31,4855.56,1186.51,0.24436,52.0524,678773.46,90.37799999999999,2529.47,41.0,43.0993,12.094000000000001
32,16131.7,5710.6,0.35399,184.308,2252326.7630000003,261.599,4637.19,31.0,26.3663,2.011
33,5816.29,1929.42,0.33171999999999996,55.7432,801885.1329999998,78.7622,3160.27,11.0,39.7593,8.398
34,5429.1,1575.46,0.29018,47.458,754171.6218,74.0363,3095.15,16.0,40.4887,1.9369999999999998
35,5712.8,1612.81,0.28231,59.4382,741389.1644,112.60700000000001,2663.46,70.0,35.3177,15.34
36,4973.57,867.87,0.17449,41.0858,692077.0287,70.4445,2542.4,22.0,39.5338,13.991
37,10640.2,3222.94,0.3029,133.869,1501664.03,173.238,4443.93,43.0,30.7951,3.87
38,6455.41,2241.45,0.34722,73.9943,889438.8209,95.6019,3192.4,38.0,39.4018,3.972
39,10594.2,3206.9,0.3027,104.431,1463788.084,153.905,4335.25,16.0,32.8527,4.53
40,9042.11,2192.4,0.24245999999999998,94.7761,1246792.385,121.071,3321.84,22.0,46.5464,2.039
41,13583.9,5474.68,0.40302,154.529,1912526.8909999998,217.571,5051.97,43.0,28.3382,19.735
42,9026.11,2146.35,0.23779,97.6867,1262992.196,121.44,3844.79,48.0,35.1158,3.437
43,7598.85,2219.53,0.29208,73.2351,1086421.048,109.022,2929.43,36.0,38.6066,15.262
44,9676.55,2497.57,0.2581,105.525,1339095.048,135.94299999999998,4274.69,38.0,33.5346,2.353
45,6132.97,2021.87,0.32966999999999996,55.6731,844732.1925,93.4546,3708.99,71.0,36.6568,1.364
46,12079.0,5173.24,0.42828,76.8466,1650875.779,198.18900000000002,5004.04,63.0,30.9835,13.888
47,7229.86,2172.97,0.30055,74.5801,1010582.135,96.8178,3163.94,33.0,35.398,12.517000000000001
48,8023.74,2447.08,0.30496999999999996,66.6181,1102737.813,119.212,3728.69,32.0,36.2502,2.015
49,7612.19,2347.13,0.30833,89.3914,1037424.2990000001,91.699,3435.09,22.0,36.2977,10.794
50,8307.12,2775.29,0.33408000000000004,89.1757,1166981.576,123.32600000000001,3177.81,23.0,37.8063,3.037
51,8691.24,2219.31,0.25535,88.6787,1208614.897,118.67200000000001,3746.09,42.0,35.4735,2.1069999999999998
52,6219.81,1431.55,0.23015,68.3427,884977.2927,74.436,3062.08,18.0,38.6069,1.514
53,5258.51,1349.37,0.2566,39.8785,725664.145,61.3337,1848.09,40.0,43.8282,7.876
54,19009.4,5789.17,0.30454000000000003,267.906,2564102.705,309.515,5763.17,320.0,21.3913,2.95
55,9283.88,2643.15,0.2847,76.6056,1252215.789,128.446,4409.09,58.0,34.0357,20.028
56,14345.8,4190.08,0.29207,165.122,1999308.476,239.727,4532.77,84.0,29.7873,7.952000000000001
57,14972.9,3247.28,0.21686999999999998,183.44099999999997,2112306.555,200.11,4102.52,145.0,31.8804,1.306
58,16049.0,6292.03,0.39205,188.571,2189967.924,264.182,5902.12,141.0,27.0237,15.618
59,6348.93,1471.87,0.23181999999999997,57.6883,869584.6361,73.6151,2595.35,23.0,39.9695,12.812000000000001
60,5509.1,1809.76,0.3285,27.9433,746308.0132,82.1515,1998.35,7.0,42.4841,16.078
