,GTT,GTn,GGn,Ts,T48,T2,P48,P2,Pexh,TIC,mf,GT_coef1,GT_coef2,Y
0,39006.238,2678.018,9116.506,332.38699999999994,822.387,686.832,2.986,15.705,1.036,44.005,0.871,0.9890000000000001,0.981,21
1,50990.72900000001,3087.34,9299.575,438.035,926.2439999999999,730.525,3.5980000000000003,18.684,1.042,60.818999999999996,1.204,0.9840000000000001,0.978,24
2,3609.345,1409.47,6678.757,10.888,527.006,556.186,1.23,6.561,1.0190000000000001,0.0,0.16399999999999998,0.996,0.998,3
3,21631.301,1924.316,8480.973,175.28799999999998,716.3430000000001,639.955,2.083,11.168,1.026,25.631999999999998,0.507,0.9690000000000001,0.98,15
4,21626.484,1924.3410000000001,8474.621,175.22299999999998,685.534,630.534,2.086,10.992,1.0270000000000001,23.996,0.475,0.9940000000000001,0.9990000000000001,15
5,72760.711,3560.3740000000003,9737.246,644.874,1067.282,774.443,4.54,22.929000000000002,1.051,88.985,1.7619999999999998,0.9890000000000001,0.98,27
6,14718.436000000002,1547.4479999999999,7718.0419999999995,113.74,634.721,603.499,1.6640000000000001,8.964,1.023,16.977,0.336,0.991,0.9840000000000001,12
7,39003.852,2678.035,9118.521,332.32099999999997,818.307,686.148,2.984,15.636,1.036,43.678999999999995,0.865,0.9890000000000001,0.985,21
8,21622.405,1924.306,8454.146,175.18200000000002,705.836,634.207,2.092,11.242,1.026,25.19,0.499,0.995,0.977,15
9,385.162,1337.931,6656.45,6.881,463.991,547.399,1.099,5.933,1.0190000000000001,13.67,0.091,0.9640000000000001,0.982,3
10,3796.26,1334.4579999999999,6619.615,6.652,568.633,560.3530000000001,1.222,6.6339999999999995,1.0190000000000001,24.239,0.223,0.9840000000000001,0.983,3
11,72772.56599999999,3560.408,9755.417,644.789,1062.4589999999998,774.525,4.5169999999999995,22.539,1.051,88.07600000000001,1.744,0.983,0.993,27
12,39011.215,2677.986,9113.668,332.455,820.2,685.52,2.99,15.738,1.036,43.913999999999994,0.8690000000000001,0.9940000000000001,0.98,21
13,6156.507,1399.005,6738.64,10.507,628.048,576.976,1.308,7.081,1.0190000000000001,0.0,0.271,0.9520000000000001,0.986,3
14,21634.755,1924.3210000000001,8492.386999999999,175.317,719.695,642.08,2.079,11.13,1.026,25.76,0.51,0.9590000000000001,0.982,15
15,50992.945999999996,3087.452,9304.127,438.088,899.1189999999999,724.6160000000001,3.588,18.283,1.042,58.468,1.157,0.992,0.9990000000000001,24
16,29761.935,2306.835,8789.091,245.985,765.357,663.028,2.515,13.302,1.031,33.84,0.67,0.996,0.985,18
17,14721.015,1547.4589999999998,7760.225,113.764,633.16,604.7719999999999,1.66,8.881,1.023,16.857,0.33399999999999996,0.9790000000000001,0.992,12
18,21634.05,1924.3220000000001,8491.407,175.31099999999998,719.158,641.828,2.08,11.130999999999998,1.026,25.735,0.509,0.96,0.982,15
19,8380.935,1386.767,7159.956999999999,60.382,583.764,582.693,1.3869999999999998,7.403,1.02,12.175999999999998,0.24100000000000002,0.956,0.9990000000000001,9
20,29761.99,2306.763,8803.365,245.928,767.587,664.934,2.51,13.239,1.031,33.895,0.6709999999999999,0.985,0.988,18
21,38988.38,2678.0820000000003,9130.689,332.272,818.0310000000001,689.0089999999999,2.968,15.418,1.036,43.405,0.8590000000000001,0.9740000000000001,0.995,21
22,14718.44,1547.4470000000001,7716.566,113.743,638.2180000000001,604.401,1.6640000000000001,8.988999999999999,1.023,17.14,0.33899999999999997,0.9890000000000001,0.981,12
23,21628.365,1924.3339999999998,8477.569,175.231,694.177,633.313,2.085,11.036,1.0270000000000001,24.454,0.484,0.986,0.9940000000000001,15
24,21631.414,1924.317,8481.919,175.273,716.8689999999999,640.202,2.083,11.167,1.026,25.656,0.508,0.968,0.98,15
25,4518.427,1344.4129999999998,6842.8640000000005,22.366999999999997,562.262,568.4490000000001,1.249,6.72,1.0190000000000001,23.263,0.213,0.9540000000000001,0.992,6
26,29795.455,2307.276,8835.771,246.28400000000002,768.842,668.09,2.499,13.083,1.03,33.815,0.67,0.9640000000000001,0.997,18
27,29761.921000000002,2306.771,8804.453000000001,245.924,771.279,666.084,2.509,13.26,1.03,34.114000000000004,0.675,0.982,0.986,18
28,21632.656000000003,1924.325,8487.353000000001,175.27,711.041,639.116,2.081,11.097999999999999,1.026,25.320999999999998,0.501,0.968,0.986,15
29,21624.814,1924.325,8465.71,175.25400000000002,694.8480000000001,632.29,2.088,11.104000000000001,1.0270000000000001,24.543000000000003,0.486,0.9940000000000001,0.9890000000000001,15
30,72775.917,3560.44,9791.421,644.946,1100.7269999999999,786.755,4.477,22.35,1.0490000000000002,90.76799999999999,1.797,0.95,0.992,27
31,38993.132000000005,2678.07,9125.701,332.274,824.747,689.735,2.9739999999999998,15.559000000000001,1.036,43.973,0.871,0.976,0.987,21
32,21625.752999999997,1924.3229999999999,8467.601999999999,175.261,698.7539999999999,633.596,2.088,11.12,1.0270000000000001,24.746,0.49,0.99,0.987,15
33,14719.77,1547.455,7744.392,113.75399999999999,628.762,602.9159999999999,1.661,8.88,1.023,16.672,0.33,0.987,0.993,12
34,72763.622,3560.39,9740.898000000001,645.067,1063.754,773.805,4.535,22.82,1.051,88.559,1.7530000000000001,0.9890000000000001,0.9840000000000001,27
35,6790.682,1362.386,6760.732,25.609,600.524,568.894,1.325,7.143,1.02,16.275,0.266,0.995,0.991,6
36,72768.672,3560.415,9770.43,644.993,1092.5810000000001,783.0010000000001,4.503,22.649,1.05,90.57700000000001,1.7930000000000001,0.963,0.9840000000000001,27
37,38980.045,2678.085,9135.424,332.19,845.077,697.921,2.96,15.548,1.035,45.158,0.894,0.9520000000000001,0.983,21
38,14725.178999999998,1547.4720000000002,7812.491999999999,113.796,651.179,611.841,1.655,8.908,1.022,17.621,0.349,0.951,0.986,12
39,3445.962,1311.86,6642.573,5.513999999999999,580.4259999999999,564.34,1.205,6.5889999999999995,1.0190000000000001,32.972,0.235,0.96,0.978,3
40,5459.169,1397.234,6674.3769999999995,10.168,578.971,563.2330000000001,1.288,6.881,1.0190000000000001,0.67,0.228,0.996,0.9990000000000001,3
41,1747.78,1397.767,6697.920999999999,10.272,486.279,552.566,1.159,6.211,1.0190000000000001,0.0,0.11,0.973,0.99,3
42,14722.055,1547.461,7770.598000000001,113.77799999999999,641.525,607.502,1.659,8.917,1.022,17.23,0.341,0.97,0.987,12
43,50996.277,3087.5640000000003,9311.838,437.996,937.4760000000001,736.418,3.582,18.572,1.041,61.408,1.216,0.9640000000000001,0.98,24
44,72776.174,3560.415,9764.46,645.063,1066.481,776.227,4.506,22.42,1.051,88.23,1.7469999999999999,0.977,0.996,27
45,50994.315,3087.532,9320.334,437.978,921.939,734.68,3.565,18.209,1.041,59.886,1.186,0.961,0.997,24
46,14723.669,1547.467,7793.509,113.79299999999999,646.11,609.686,1.6569999999999998,8.908,1.022,17.413,0.345,0.96,0.987,12
47,8379.649,1386.76,7129.172,60.36600000000001,592.0880000000001,584.095,1.3880000000000001,7.482,1.02,12.526,0.248,0.9570000000000001,0.988,9
